recipe_id,image_url,title
35,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/35.png,Bone Broth
9,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/9.png,Crema Catalana with salted caramel sauce
74,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/74.png,Asian-spiced chicken and rice noodle salad
78,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/78.png,Hush Puppies
32,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/32.png,Instant Pot Pepperoncini Italian Beef
24,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/24.png,Lamb and pomegranate sandwich
44,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/44.png,Gingerbread loaf cake
54,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/54.png,Winter sandwich with spicy cinnamon mayo
13,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/13.png,Buttermilk chicken wings
10,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/10.png,Tangy lemon sheet cake
66,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/66.png,Super Fast Chicken Fried Rice
18,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/18.png,"Zucchini, Pecorino & Mint Salad"
26,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/26.png,New England Clam Chowder
22,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/22.png,Panettone French toast
90,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/90.png,Chocolate banana cream cake
81,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/81.png,Banana and chocolate Swedish pancakes
88,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/88.png,Blue Cheese Filet Mignon
58,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/58.png,Raisin Coconut Cashew Bars
80,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/80.png,Veggie & Bean Crockpot Soup
57,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/57.png,Smoky Lemon Thyme Chicken
39,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/39.png,Creamy yogurt-white chocolate parfait with orange
55,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/55.png,"Roasted sweet potato salad with hazelnuts, persimmon, and burrata"
46,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/46.png,Carrot hummus with pita bread
82,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/82.png,3-Minute Avocado Salsa
43,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/43.png,Shortcut tarte flambée
42,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/42.png,Sweet potato and orange soup
77,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/77.png,Ratatouille
27,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/27.png,Whole wheat pasta alla norma
0,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/0.png,Jamaican Callaloo With Shrimp
31,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/31.png,Honey-coconut porridge
15,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/15.png,Homemade McDonald's McFlurry
3,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/3.png,Madeleines
85,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/85.png,Mango Colada Popsicles
51,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/51.png,Simple Egg Fry
28,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/28.png,Macaroni and Cheese
2,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/2.png,Vegan Basil Pesto and Sun-Dried Tomato Pinwheels
91,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/91.png,Overnight oats with three toppings
96,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/96.png,Simple Tomato Basil Salad
14,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/14.png,Home Made Vanilla Extract
61,https://coherence-annotation-images.s3.amazonaws.com/sequence_annotations/61.png,Braised brisket
